id,Workplaces,College,School,Places,Gender
226,no workplaces to show,studies at trường đại học văn lang,went to trường thpt núi thành,"quang nam, quang nam-da nang, vietnam|quang nam, quang nam-da nang, vietnam",female
227,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
228,no workplaces to show,studies hệ thống thông tin at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt nghĩa hưng a,"nghia hung|nam định, nam định, vietnam",female
229,bảo vệ at meta|bảo vệ at meta,no schools to show,went to m.v.lomonosov,"hanoi, vietnam|hanoi, vietnam",male
230,no workplaces to show,studies at troy university,went to tôi yêu thpt lê hoàng chiếu,"ho chi minh city, vietnam|bến tre",female
231,no workplaces to show,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,goes to trường thpt hai bà trưng,"hue, vietnam",female
232,social media excutive at vnexpress.net|social media excutive at vnexpress.net|social media excutive at vnexpress.net|social media excutive at vnexpress.net,no schools to show,no schools to show,"ho chi minh city, vietnam",female
233,no workplaces to show,studied at đại học an giang,"went to thpt nguyễn chí thanh, phú tân, an giang","angiang, an giang, vietnam|angiang, an giang, vietnam",male
234,works at thpt đơn dương|works at thpt đơn dương,studied at trường đại học văn lang,went to thcs thạnh mỹ,da lat,notknown
235,tam ky,studied at đại học ♥‿♥ • ăn & chơi • ♥‿♥ rồi phá|studied at đại học ♥‿♥ • ăn & chơi • ♥‿♥ rồi phá|studied at đại học ♥‿♥ • ăn & chơi • ♥‿♥ rồi phá,"went to ăn rồi chơi,chơi ròy ngủ,ngủ ròy quậy","quang nam, quang nam-da nang, vietnam|tien phuoc",male
236,nhơn trạch - đồng nai,no schools to show,went to thcs thị trấn long mỹ,"phu hoi, vietnam|long my, cẩn thỏ, vietnam",notknown
237,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
238,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,female
239,tân châu,no schools to show,no schools to show,tân châu|tân châu,male
240,works at sân bay quốc tế tân sơn nhất - tan son nhat international airport,no schools to show,went to thpt bình chánh|went to thpt bình chánh,no places to show,male
241,"ho chi minh city, vietnam",studied at nttu - đại học nguyễn tất thành|studied at nttu - đại học nguyễn tất thành,went to pho thong tran quang khai,"ho chi minh city, vietnam|saint james, bà rịa-vũng tàu, vietnam",female
242,"works at ღtao yêu mày rồi đó ღ yêu lại tao đi ღ,•ิ_•ิ ¤ cậuyêu tớ thì đừng có chối ๑ mẹ tớ bảo nói dối là hư¤ •ิ_•ิ,là tại tớ không xứng - hay tớ không có chỗđứng trong cậu?|works at ღtao yêu mày rồi đó ღ yêu lại tao đi ღ,•ิ_•ิ ¤ cậuyêu tớ thì đừng có chối ๑ mẹ tớ bảo nói dối là hư¤ •ิ_•ิ,là tại tớ không xứng - hay tớ không có chỗđứng trong cậu?|works at ღtao yêu mày rồi đó ღ yêu lại tao đi ღ,•ิ_•ิ ¤ cậuyêu tớ thì đừng có chối ๑ mẹ tớ bảo nói dối là hư¤ •ิ_•ิ,là tại tớ không xứng - hay tớ không có chỗđứng trong cậu?",studied at 'ăn chơi' quậy phá đập ₫á như ₫iên.phá ₫ảo thế giới ảo ''dân fa'''hk vô ₫ối lo\/€ vip,no schools to show,no places to show,female
243,quy nhon,studied at trường đại học quy nhơn,went to trường thpt tây sơn,"hanoi, vietnam|nha trang",notknown
244,no workplaces to show,studies thương mại điện tử at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam|da lat",female
245,no workplaces to show,no schools to show,no schools to show,no places to show,female
246,no workplaces to show,studied khoa học máy tính at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt chuyên trần đại nghĩa|went to trường thpt chuyên trần đại nghĩa,"ho chi minh city, vietnam|an thi",female
247,trang bom,studied at đại học quốc gia tp.hcm,went to daingerfield high school,trang bom|trang bom,notknown
248,no workplaces to show,no schools to show,no schools to show,vung liem,male
249,no workplaces to show,no schools to show,no schools to show,no places to show,male
250,no workplaces to show,no schools to show,went to trường thcs phú mỹ - q. bình thạnh - tp. hồ chí minh,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
251,bartender at cocktailss.com,no schools to show,went to thpt phù cừ,"hanoi, vietnam|hung yen, hưng yên, vietnam",male
252,worked at dhqgtphcm,no schools to show,no schools to show,"ho chi minh city, vietnam|buon me thuot",female
253,no workplaces to show,studies quản trị dịch vụ du lịch và lữ hành at trường đại học cửu long|studies quản trị dịch vụ du lịch và lữ hành at trường đại học cửu long,went to trường thcs bình thành|went to trường thcs bình thành,"phu quoc, kiến giang, vietnam|long xuyên",female
254,works at dân phú yên,studied at trường cđcn tuy hòa,went to trường thcs trần kiệt,nha trang|dong hoa|nha trang,notknown
255,no workplaces to show,no schools to show,no schools to show,tân châu,female
256,no workplaces to show,studied it1- khoa học máy tính at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thcs nguyễn bỉnh khiêm,no places to show,male
257,no workplaces to show,studies khoa điện - điện tử at đại học tôn đức thắng,went to trường trung học phổ thông nguyễn văn thoại,no places to show,notknown
258,no workplaces to show,studied at đại học tài nguyên và môi trường tp.hcm,went to thpt bà điểm,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
259,no workplaces to show,no schools to show,no schools to show,no places to show,female
260,"works at quận 8, thành phố hồ chí minh",no schools to show,no schools to show,"phú lâm, an giang, vietnam",notknown
261,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
262,no workplaces to show,no schools to show,no schools to show,no places to show,male
263,no workplaces to show,studies kỹ thuật phần mềm at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam",male
264,works at việt nam news,studied at hutech - đại học công nghệ tp.hcm,went to thpt phạm văn đồng,nha trang|nha trang,notknown
