id,Workplaces,College,School,Places,Gender
8903,tân châu,studied at hutech - đại học công nghệ tp.hcm,"went to thpt tân châu, tân châu, an giang","ho chi minh city, vietnam|tân châu",notknown
8904,,,,,
8905,no workplaces to show,studied at trường cao đẳng kinh tế - kỹ thuật thành phố hồ chí minh|studied at trường cao đẳng kinh tế - kỹ thuật thành phố hồ chí minh,went to thcs le quoc viet,"ho chi minh city, vietnam|gò công",female
8906,no workplaces to show,studied at đại học tôn đức thắng,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8907,,,,,
8908,,,,,
8909,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
8910,no workplaces to show,no schools to show,went to trường thcs - thpt nguyễn khuyến cơ sở 4|went to trường thcs - thpt nguyễn khuyến cơ sở 4,"ho chi minh city, vietnam|bac lieu",notknown
8911,,,,,
8912,no workplaces to show,studied ngôn ngữ anh at hutech - đại học công nghệ tp.hcm,went to thpt khanh lam,"ho chi minh city, vietnam|cà mau",female
8913,no workplaces to show,studied at trường đại học bách khoa - đhqg tp.hcm,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
8914,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",male
8915,,,,,
8916,,,,,
8917,no workplaces to show,no schools to show,went to thpt long xuyên,"phú lâm, an giang, vietnam|phú lâm, an giang, vietnam",male
8918,,,,,
8919,tân châu,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
8920,works at apple,studied at đại học bách khoa hà nội - hanoi university of science and technology,no schools to show,"ho chi minh city, vietnam",notknown
8921,no workplaces to show,no schools to show,no schools to show,phú bình,female
8922,no workplaces to show,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt chuyên thoại ngọc hầu,long xuyên|long xuyên,male
8923,former dược sĩ lâm sàng at bệnh viện tỉnh ninh thuận,studies bác sĩ y đa khoa -general doctor ♥️ 🧑‍⚕️ at trường đại học y dược cần thơ|studies bác sĩ y đa khoa -general doctor ♥️ 🧑‍⚕️ at trường đại học y dược cần thơ,no schools to show,can tho|gio linh,notknown
8924,,,,,
8925,boss tại gn store,no schools to show,no schools to show,"thuong thoi, ðồng tháp, vietnam|hồng ngự",notknown
8926,no workplaces to show,studied at trường đại học đồng tháp,no schools to show,hồng ngự,notknown
8927,,,,,
8928,,,,,
8929,works at meliá danang beach resort|works at meliá danang beach resort|works at meliá danang beach resort|works at meliá danang beach resort,studied at khoa du lịch - đại học huế,went to thpt trần kỳ phong,"da nang, vietnam|quang ngai",female
