id1,id2
15948,6339
15948,16938
15948,5480
15948,4636
15948,6252
15948,2431
15948,14858
15948,9609
15948,891
15948,17662
15948,7062
15948,2894
15948,20385
15948,18995
12240,20781
12240,3591
12240,2649
12240,4180
12240,18030
1800,18027
1800,99
1800,15830
1800,17048
1800,9308
1800,3370
1800,389
1800,426
1800,19283
1800,19204
1800,11607
1800,19987
1800,15800
1800,12330
1800,12478
1800,6296
1800,17327
1800,13292
1800,18113
1800,18479
1800,9105
1800,11087
1800,18061
1800,6948
1800,15023
1800,17660
1800,3013
1800,8933
1800,10170
1800,3697
1800,12646
1800,1102
1800,20651
1800,12192
1800,10738
1800,13224
1800,3282
1800,7072
1800,1388
1800,5431
1800,15071
9800,2382
9800,16954
9800,8098
9800,15948
9800,4671
9800,10724
9800,7184
9800,8074
9800,18414
9800,7992
9800,2728
9800,8593
9800,1612
9800,9128
9800,19277
9800,18442
9800,7801
9800,15022
9800,17566
9800,14878
9800,3043
9800,20123
9800,18489
9800,14924
9800,2622
9800,15989
9800,15919
9800,12871
9800,11334
9800,16369
9800,6339
9800,16938
9800,11600
9800,4496
9800,10596
9800,4596
9800,7146
9800,15940
9800,8816
9800,12194
9800,14460
9800,20617
9800,14865
9800,10123
9800,19418
9800,15005
9800,9674
9800,13695
9800,18146
9800,12336
9800,14992
9800,12135
9800,5350
9800,803
9800,16196
9800,2581
9800,4220
9800,687
9800,20353
9800,6633
3370,15830
3370,17048
3370,9308
3370,389
3370,426
3370,14240
3370,19283
3370,3591
3370,11607
3370,19987
3370,12330
3370,12478
3370,6296
3370,13292
3370,1800
3370,9105
3370,11087
3370,12904
3370,14545
3370,3697
3370,17520
3370,7185
3370,1012
3370,6627
3370,3282
3370,13259
3370,13124
3370,12799
3370,16776
3370,13504
3370,485
11969,1826
11969,17149
11969,9838
11969,11013
11969,3591
11969,15563
11969,1463
11969,19960
11969,16251
11969,15112
11969,10977
13148,3013
13148,6845
20343,7138
20343,12891
20343,11485
20343,15805
426,15023
426,18479
426,3370
426,1800
426,6296
426,15830
426,11607
426,10034
426,99
426,11735
426,14545
426,14240
426,9308
389,3013
389,15023
389,14249
389,3370
389,1800
389,6296
389,15830
389,11607
389,18037
389,10170
389,17660
389,10034
389,99
389,19563
389,6077
389,11735
389,3591
389,14240
389,9308
389,19749
18276,6324
18276,18586
18276,2969
18276,15491
18276,18489
18276,3168
18276,20250
18276,15439
18276,20319
18276,10431
18276,3843
18276,16989
18276,10014
18276,19402
18276,13678
18276,16685
18276,19960
18276,7495
18276,15377
18276,13607
18276,3591
18276,1380
18276,19878
18276,5991
18276,18771
18276,3610
18276,8744
18276,4310
18276,5624
18276,17655
19204,3013
19204,14249
19204,1800
19204,6863
19204,6296
19204,15830
19204,11607
19204,18037
19204,10170
19204,10034
19204,7138
19204,99
19204,3591
19204,14240
19204,9308
11485,18027
11485,20343
11485,6878
11485,6296
11485,3289
11485,15482
11485,2326
11485,7138
11485,5160
11485,13886
11485,2368
11485,6258
11485,16145
11485,15805
11485,16210
11485,16142
11485,3216
11485,4647
11485,9053
11485,12628
11485,4112
11485,10946
11485,1569
11485,24
11485,9590
11485,19263
11485,8582
11485,19705
11485,18493
11485,18721
11485,11826
11485,7072
11485,5491
11485,56
11485,15071
11485,19445
11485,5199
11485,6143
18414,9800
18414,15090
18414,15238
18414,17528
18414,2728
18414,1612
18414,16685
18414,15880
18414,7139
18414,15771
18414,9045
18414,7171
18414,2643
18414,20291
18414,12157
18414,1641
18414,9143
18414,16437
18414,2490
18414,20818
18414,9196
18414,6868
18414,14511
18414,1905
18414,16018
18414,15612
18414,6321
18414,10014
18414,18379
18414,18488
18414,6794
18414,20022
18414,4464
18414,2996
18414,17466
18414,6180
18414,14690
18414,16363
18414,17218
18414,18117
18414,19289
18414,7495
18414,20319
18414,1051
18414,20491
18414,15491
18414,16989
18414,14924
18414,15988
18414,17645
18414,11958
18414,12871
18414,2622
18414,1973
18414,10493
18414,20846
18414,8444
18414,11600
18414,14322
18414,3371
18414,13331
18414,15731
18414,14360
